id,member_id,bulan,tahun,iuran_wajib,iuran_sukarela,tanggal_bayar,status,created_at,updated_at,simpanan_wajib
003ad38e-538c-4f8a-bc3e-2a6888e082aa,6aa7a6ef-0307-4a4a-8d64-b0fe6a33ad1c,12,2023,50000.00,0.00,2023-12-31,lunas,2025-10-19 10:00:18.590819+00,2025-10-19 10:00:18.590819+00,100000.00
004e9078-52c1-4c4e-b962-167f67aeb312,059a6d69-f760-4f6d-ad11-7fbf59c3a7c4,10,2024,0.00,0.00,2024-10-31,belum_lunas,2025-10-21 08:00:52.128671+00,2025-10-21 08:00:52.128671+00,0.00
00c29493-33a0-4d43-a0dd-1aec1db8234e,1ea6557b-4d23-4b62-98dc-b337d93d9524,11,2024,0.00,0.00,2024-11-30,belum_lunas,2025-10-21 08:01:32.999887+00,2025-10-21 08:01:32.999887+00,0.00
00d2c428-28ca-4cf9-a6f7-00a18f79343e,c1876c25-8f0e-46c5-9f83-9ecde2737bba,7,2023,50000.00,0.00,2023-07-31,lunas,2025-10-19 10:00:27.403587+00,2025-10-19 10:00:27.403587+00,100000.00
0137c3f4-ccc8-48b7-afda-7984eef34bfd,86b4772c-24be-4212-a300-1e78983d82b3,2,2024,50000.00,0.00,2024-02-28,lunas,2025-10-21 08:00:59.725069+00,2025-10-21 08:00:59.725069+00,100000.00
014a4ee8-a3cd-49ca-aa8c-f0c8cfb521b9,eaeada1d-4b89-4e26-a8b2-f679d0b50598,4,2023,50000.00,0.00,2023-04-30,lunas,2025-10-19 10:00:12.649074+00,2025-10-19 10:31:56.287641+00,0.00
01567f8b-5fde-4580-ba05-f1b8bfcc89a6,3936c707-7bc1-4ffa-99ee-776b8b1fc14f,11,2023,0.00,0.00,2023-11-30,belum_lunas,2025-10-19 10:00:26.37189+00,2025-10-19 10:00:26.37189+00,0.00
01c84753-0dd9-438b-8758-48de7beda283,41f6ff19-4714-4974-bf6e-b7881ff89f40,9,2023,50000.00,0.00,2023-09-30,lunas,2025-10-19 10:01:11.523235+00,2025-10-19 10:01:11.523235+00,100000.00
0209269a-7909-452d-8588-a1cb1cba9e59,0dcd1262-9ab9-452c-8a66-e9d575563268,6,2025,50000.00,0.00,2025-06-30,lunas,2025-10-21 14:44:37.736818+00,2025-10-21 14:44:37.736818+00,100000.00
02d536a2-6f3e-47f1-95b3-9a35dbcd9e60,d79f5a6a-e79d-4638-92dd-9f72ab5ec7e7,9,2025,50000.00,0.00,2025-09-30,lunas,2025-10-21 14:44:45.019566+00,2025-10-21 14:44:45.019566+00,100000.00
035133db-63b0-4f60-817b-d6bec346c20a,0dcd1262-9ab9-452c-8a66-e9d575563268,6,2024,50000.00,0.00,2024-06-30,lunas,2025-10-21 08:01:29.060636+00,2025-10-21 08:01:29.060636+00,100000.00
03ef4bd2-70ee-493b-a55e-ce1689397d62,4f667a97-f738-4f76-8105-27ad44277d59,4,2024,0.00,0.00,2024-04-30,belum_lunas,2025-10-21 08:01:43.482392+00,2025-10-21 08:01:43.482392+00,0.00
03f33f69-369f-4efa-87bc-dd7ad83ab8be,fbb50b94-afb4-4a45-a6a2-72e257809b1d,1,2023,50000.00,0.00,2023-01-31,lunas,2025-10-19 10:00:39.447064+00,2025-10-19 10:00:39.447064+00,100000.00
0428accc-568b-47cc-ad0c-e6f10c1f2f75,eaeada1d-4b89-4e26-a8b2-f679d0b50598,6,2024,50000.00,0.00,2024-06-30,belum_lunas,2025-10-21 08:00:25.425934+00,2025-10-21 08:00:25.425934+00,0.00
042af62e-91e3-4177-b365-ad8a8e589617,422594b7-a845-4a5c-aba4-1ac02a821f3e,9,2023,0.00,0.00,2023-09-30,belum_lunas,2025-10-19 10:00:50.295046+00,2025-10-19 10:00:50.295046+00,0.00
04ccc83c-5e99-4a5a-bec2-dd4812c38af2,1173fd81-a9d2-4178-b421-06c4bd5cc2c2,12,2023,50000.00,0.00,2023-12-31,lunas,2025-10-19 10:00:17.126802+00,2025-10-19 10:00:17.126802+00,100000.00
04d52049-01dd-44b9-a2b2-89c0012141b9,6aa7a6ef-0307-4a4a-8d64-b0fe6a33ad1c,6,2025,50000.00,0.00,2025-06-30,lunas,2025-10-21 14:00:23.187537+00,2025-10-21 14:00:23.187537+00,100000.00
05743b70-4342-4f89-b8ff-a9b903237a9c,651f0d25-2cc1-475a-8b4e-8751c5f25143,12,2023,0.00,0.00,2023-12-31,belum_lunas,2025-10-19 10:00:39.308941+00,2025-10-19 10:00:39.308941+00,0.00
059fbfef-98f0-46e1-86f5-3198b3c2f2f9,3aae1f0a-1d47-4c71-99d0-039aefa08305,8,2024,50000.00,0.00,2024-08-31,lunas,2025-10-21 08:01:37.541964+00,2025-10-21 08:01:37.541964+00,100000.00
05bf62f8-5568-42d5-9147-e7d858c773c8,4a3ab56c-4f58-4242-98a2-e53026114805,1,2024,50000.00,0.00,2024-01-31,lunas,2025-10-21 08:00:43.799176+00,2025-10-21 08:00:43.799176+00,100000.00
05daf6ca-1209-4cbe-a336-dd3065337faa,059a6d69-f760-4f6d-ad11-7fbf59c3a7c4,12,2024,0.00,0.00,2024-12-31,belum_lunas,2025-10-21 08:00:52.359787+00,2025-10-21 08:00:52.359787+00,0.00
0625cbce-9e17-4b08-b7f0-1f115f4ba673,41f6ff19-4714-4974-bf6e-b7881ff89f40,7,2023,50000.00,0.00,2023-07-31,lunas,2025-10-19 10:01:11.259232+00,2025-10-19 10:01:11.259232+00,100000.00
0632c178-3506-403c-a900-534dd3f5de89,8723527b-e905-480e-b3fb-8e1b9a0d53d3,8,2025,50000.00,0.00,2025-08-31,lunas,2025-10-21 14:44:49.399738+00,2025-10-21 14:44:49.399738+00,100000.00
074e04e8-fb44-429b-9222-c31fcdee52c8,fbb50b94-afb4-4a45-a6a2-72e257809b1d,7,2025,50000.00,0.00,2025-07-31,lunas,2025-10-21 14:44:29.701685+00,2025-10-21 14:44:29.701685+00,100000.00
076e1ea6-253a-418c-8d14-51fc4859ebc9,46b08ec7-a17a-43c1-99c3-584b39304b2a,7,2025,0.00,0.00,2025-07-31,belum_lunas,2025-10-21 14:44:39.339632+00,2025-10-21 14:44:39.339632+00,0.00
07746890-006e-4d58-96bd-4784c1662ade,eaeada1d-4b89-4e26-a8b2-f679d0b50598,12,2023,50000.00,0.00,2023-12-31,lunas,2025-10-19 10:00:13.788788+00,2025-10-19 10:31:56.287641+00,0.00
07827d8e-21bc-4473-9d54-a4fd9df2b414,8b5865f4-84ae-4d79-8761-cf8d819be5bd,8,2023,50000.00,0.00,2023-08-31,lunas,2025-10-19 10:00:24.362787+00,2025-10-19 10:00:24.362787+00,100000.00
0783f22a-984b-446e-bce2-520026d256c3,94a0cdc0-c60a-4632-897b-dec0a0e7b666,2,2024,50000.00,0.00,2024-02-28,lunas,2025-10-21 08:01:49.444581+00,2025-10-21 08:01:49.444581+00,0.00
07da3439-b4bc-43bd-9a18-adc5a75a50e5,23f7d1ed-1ea6-454f-9662-caf62e9650d9,7,2023,50000.00,0.00,2023-07-31,lunas,2025-10-19 10:01:04.63862+00,2025-10-19 10:01:04.63862+00,100000.00
07dca149-1a82-4ae1-a6ec-f7a67e684cd0,0054bb6c-4652-453a-8e53-4248c9747044,4,2024,50000.00,0.00,2024-04-30,lunas,2025-10-21 08:00:32.724237+00,2025-10-21 08:00:32.724237+00,100000.00
08441dc9-7b02-413a-9b1e-0edfcf038441,0dcd1262-9ab9-452c-8a66-e9d575563268,3,2023,50000.00,0.00,2023-03-31,lunas,2025-10-19 10:00:50.974653+00,2025-10-19 10:00:50.974653+00,100000.00
084cc8aa-c64b-46b8-a3d5-b7635f28e93d,fbb50b94-afb4-4a45-a6a2-72e257809b1d,6,2025,50000.00,0.00,2025-06-30,lunas,2025-10-21 14:44:29.578406+00,2025-10-21 14:44:29.578406+00,100000.00
086260e8-cfad-4787-a3fd-d0177702dfe4,8723527b-e905-480e-b3fb-8e1b9a0d53d3,2,2025,50000.00,0.00,2025-02-28,lunas,2025-10-21 14:44:48.585544+00,2025-10-21 14:44:48.585544+00,100000.00
08632ff0-1197-4de8-9df5-07c1b401500b,1173fd81-a9d2-4178-b421-06c4bd5cc2c2,3,2025,50000.00,0.00,2025-03-31,lunas,2025-10-21 14:00:21.306029+00,2025-10-21 14:00:21.306029+00,100000.00
08d37ef8-cfa8-4f94-b297-f4bef6c141d0,0054bb6c-4652-453a-8e53-4248c9747044,9,2023,50000.00,0.00,2023-09-30,lunas,2025-10-19 10:00:21.101449+00,2025-10-19 10:00:21.101449+00,100000.00
09120a9b-8996-4a36-adf7-c574ce46fdbf,3aae1f0a-1d47-4c71-99d0-039aefa08305,5,2025,0.00,0.00,2025-05-31,belum_lunas,2025-10-21 14:44:43.162481+00,2025-10-21 14:44:43.162481+00,0.00
0968fbfd-32e8-4f6b-8fb5-ed3db67dba8c,2b1034c9-e381-4f62-8761-c2f1d5466fac,3,2025,50000.00,0.00,2025-03-31,lunas,2025-10-21 14:00:19.773607+00,2025-10-21 14:00:19.773607+00,100000.00
